N_nodes,T,degree,autocorrelation,tau_max_true,lag_max,repetition,graph_seed,method,peak_rss_mib,runtime_s
4,1000,1.5,0.3,3,3,8,45104130,tsboss,92.875,0.26521337499434594
4,1000,1.5,0.3,3,3,8,45104130,pcmci,98.25,0.30965049999940675
4,1000,1.5,0.3,3,3,8,45104130,dynotears,150.15625,0.5321330000006128
4,1000,1.5,0.3,3,3,8,45104130,tsfges,163.765625,0.3183422919973964
4,1000,1.5,0.3,3,3,8,45104130,tsboss_iid,33.046875,0.011465916999441106
4,1000,1.5,0.3,3,3,9,45104131,tsboss,92.296875,0.2514548749968526
4,1000,1.5,0.3,3,3,9,45104131,pcmci,98.171875,0.2994152499959455
4,1000,1.5,0.3,3,3,9,45104131,dynotears,150.03125,0.5130397089960752
4,1000,1.5,0.3,3,3,9,45104131,tsfges,164.640625,0.3178467920006369
4,1000,1.5,0.3,3,3,9,45104131,tsboss_iid,33.03125,0.010494334004761185
4,1000,1.5,0.3,3,3,10,45104132,tsboss,92.21875,0.2583317079988774
4,1000,1.5,0.3,3,3,10,45104132,pcmci,98.078125,0.3009440409950912
4,1000,1.5,0.3,3,3,10,45104132,dynotears,150.390625,0.4921920419947128
4,1000,1.5,0.3,3,3,10,45104132,tsfges,164.375,0.32014545900165103
4,1000,1.5,0.3,3,3,10,45104132,tsboss_iid,32.875,0.009754499995324295
5,1000,1.5,0.3,3,3,1,45105123,tsboss,92.640625,0.27080245899560396
5,1000,1.5,0.3,3,3,1,45105123,pcmci,98.1875,0.3074560829991242
5,1000,1.5,0.3,3,3,1,45105123,dynotears,150.390625,0.5050566670033731
5,1000,1.5,0.3,3,3,1,45105123,tsfges,162.953125,0.32614254099462414
5,1000,1.5,0.3,3,3,1,45105123,tsboss_iid,33.15625,0.010004707997723017
5,1000,1.5,0.3,3,3,2,45105124,tsboss,92.1875,0.2624930840029265
5,1000,1.5,0.3,3,3,2,45105124,pcmci,98.75,0.3225090830019326
5,1000,1.5,0.3,3,3,2,45105124,dynotears,150.140625,0.5066798330008169
5,1000,1.5,0.3,3,3,2,45105124,tsfges,165.109375,0.32653612500143936
5,1000,1.5,0.3,3,3,2,45105124,tsboss_iid,33.1875,0.01155987499805633
5,1000,1.5,0.3,3,3,3,45105125,tsboss,92.21875,0.2542094169984921
5,1000,1.5,0.3,3,3,3,45105125,pcmci,98.546875,0.3120110410018242
5,1000,1.5,0.3,3,3,3,45105125,dynotears,150.640625,0.5083134160013287
5,1000,1.5,0.3,3,3,3,45105125,tsfges,164.46875,0.3384135000014794
5,1000,1.5,0.3,3,3,3,45105125,tsboss_iid,33.328125,0.015367166000942234
5,1000,1.5,0.3,3,3,4,45105126,tsboss,92.34375,0.2546026249983697
5,1000,1.5,0.3,3,3,4,45105126,pcmci,98.25,0.3101364169997396
5,1000,1.5,0.3,3,3,4,45105126,dynotears,150.171875,0.5183969589998014
5,1000,1.5,0.3,3,3,4,45105126,tsfges,163.578125,0.328285749994393
5,1000,1.5,0.3,3,3,4,45105126,tsboss_iid,33.109375,0.01092583300487604
5,1000,1.5,0.3,3,3,5,45105127,tsboss,92.15625,0.26249333300074795
5,1000,1.5,0.3,3,3,5,45105127,pcmci,98.328125,0.3345535420012311
5,1000,1.5,0.3,3,3,5,45105127,dynotears,150.15625,0.5268777919991408
5,1000,1.5,0.3,3,3,5,45105127,tsfges,172.546875,0.3677022499978193
5,1000,1.5,0.3,3,3,5,45105127,tsboss_iid,33.4375,0.016329749996657483
5,1000,1.5,0.3,3,3,6,45105128,tsboss,92.328125,0.2620810000007623
5,1000,1.5,0.3,3,3,6,45105128,pcmci,98.59375,0.3165437909992761
5,1000,1.5,0.3,3,3,6,45105128,dynotears,150.265625,0.5196341250048135
5,1000,1.5,0.3,3,3,6,45105128,tsfges,168.15625,0.34082554199994775
5,1000,1.5,0.3,3,3,6,45105128,tsboss_iid,33.234375,0.013720249997277278
5,1000,1.5,0.3,3,3,7,45105129,tsboss,92.21875,0.2562984999967739
5,1000,1.5,0.3,3,3,7,45105129,pcmci,98.578125,0.315255708002951
5,1000,1.5,0.3,3,3,7,45105129,dynotears,150.09375,0.5385614170008921
5,1000,1.5,0.3,3,3,7,45105129,tsfges,165.296875,0.3266710830066586
5,1000,1.5,0.3,3,3,7,45105129,tsboss_iid,33.296875,0.01705900000524707
5,1000,1.5,0.3,3,3,8,45105130,tsboss,92.21875,0.26051408299827017
5,1000,1.5,0.3,3,3,8,45105130,pcmci,98.296875,0.3137552499974845
5,1000,1.5,0.3,3,3,8,45105130,dynotears,150.21875,0.5197638750032638
5,1000,1.5,0.3,3,3,8,45105130,tsfges,169.765625,0.34853908300283365
5,1000,1.5,0.3,3,3,8,45105130,tsboss_iid,33.265625,0.013677082999492995
5,1000,1.5,0.3,3,3,9,45105131,tsboss,92.3125,0.2647704580012942
5,1000,1.5,0.3,3,3,9,45105131,pcmci,98.4375,0.33265512499929173
